title,platform,score,genre,release_year,release_month
SkateBird,Nintendo Switch,5,Sports,2021,9
Aragami 2,PC,5,Action,2021,9
Aragami 2,PlayStation 4,5,Action,2021,9
Aragami 2,Xbox One,5,Action,2021,9
I Am Fish,Xbox One,7,Action,2021,9
I Am Fish,PC,7,Action,2021,9
Lost in Random,PC,8,Action,2021,9
Lost in Random,Xbox One,8,Action,2021,9
Lost in Random,PlayStation 4,8,Action,2021,9
NBA 2K22,PlayStation 5,7,Sports,2021,9
Toem,Nintendo Switch,8,PC,2021,9
Deathloop,PC,10,Action,2022,9
Tales of Arise,Xbox One,9,Bandai Namco Games,2021,9
Tales of Arise,PlayStation 4,9,Bandai Namco Games,2021,9
Big Rumble Boxing,PC,4,Boxing,2021,9
Big Rumble Boxing,Xbox One,4,Boxing,2021,9
Clid the Snail,PC,5,PlayStation 4,2021,12
Life is Strange: True Colors,PlayStation 4,9,Adventure,2021,12
Life is Strange: True Colors,PlayStation 5,9,Adventure,2021,12
Life is Strange: True Colors,Xbox One,9,Adventure,2021,12
Life is Strange: True Colors,PC,9,Adventure,2021,12
The Artful Escape,PC,8,Adventure,2022,1
The Artful Escape,Xbox One,8,Adventure,2022,1
The Artful Escape,PlayStation 4,8,Adventure,2022,1
The Artful Escape,PlayStation 5,8,Adventure,2022,1
Baldo,PlayStation 4,4,Action,2021,8
Baldo,Macintosh,4,Action,2021,8
Baldo,PC,4,Action,2021,8
Baldo,iPod,4,Action,2021,8
Baldo,iPad,4,Action,2021,8
Baldo,Xbox One,4,Action,2021,8
Baldo,iPhone,4,Action,2021,8
WRC 10,PC,8,Racing,2022,3
WRC 10,PlayStation 4,8,Racing,2022,3
WRC 10,Xbox One,8,Racing,2022,3
King's Bounty 2,PC,6,PlayStation 4,2023,9
King's Bounty 2,PlayStation 4,6,PlayStation 4,2023,9
King's Bounty 2,Xbox Series X|S,6,PlayStation 4,2023,9
Sonic Colors Ultimate,PC,8,SEGA,2021,9
Sonic Colors Ultimate,PlayStation 4,8,SEGA,2021,9
Maneater: Truth Quest,PC,6,Action,2021,8
Maneater: Truth Quest,Xbox One,6,Action,2021,8
Maneater: Truth Quest,PlayStation 4,6,Action,2021,8
Maneater: Truth Quest,PlayStation 5,6,Action,2021,8
No More Heroes 3,PlayStation 4,6,Action,2022,10
No More Heroes 3,Xbox One,6,Action,2022,10
No More Heroes 3,PC,6,Action,2022,10
No More Heroes 3,Xbox Series X|S,6,Action,2022,10
Naraka,PC,8,Action,2023,7
Naraka,PlayStation 5,8,Action,2023,7
I Expect You to Die 2,PC,8,Puzzle,2021,8
I Expect You to Die 2,PlayStation 4,8,Puzzle,2021,8
